"Name";"Age";"Date Of Birth";"Unique ID"
"Mata, Japhet";"16";"28.10.1997";"215494"
"Richards, Chris";"17";"25.12.1996";"215495"
"Coggins, Brad";"17";"06.01.1997";"215496"
"Thorpe, Ashley";"17";"22.10.1996";"215497"
"Murfin, Matt";"17";"23.09.1996";"215498"
"O'Brien, Jack";"17";"12.05.1997";"215499"
"Allen, Shay";"17";"09.12.1996";"215500"
"Shelton, Mark";"17";"12.09.1996";"215501"
"Fox, Ben";"16";"01.02.1998";"215502"
"Gatter, Charlie";"16";"27.01.1998";"215503"
"Hornby, Charlie";"16";"09.05.1998";"215504"
"Smith, Brad";"16";"03.09.1997";"215505"
"Sedjic, Mirza";"16";"01.11.1997";"215506"
"Troke, Lewis";"16";"07.10.1997";"215507"
"Dinanga, Marcus";"16";"02.01.1998";"215508"
"Pearson, Michael";"16";"02.01.1998";"215509"
"Cunningham, Aaron";"16";"03.02.1998";"215510"
"Dawson, James";"16";"31.12.1997";"215511"
"Elliott, Dylan";"16";"20.09.1997";"215512"
"Howes, Scott";"16";"13.11.1997";"215513"
"Briggs, Frazer";"16";"26.10.1997";"215514"
"Jewson, Jordan";"16";"16.03.1998";"215515"
"Male, Adam";"16";"05.12.1997";"215516"
"Skidmore, Nathaniel";"16";"28.02.1998";"215517"
"Turnbull, Jack";"16";"18.12.1997";"215518"
"Varga, Bradley";"16";"02.10.1997";"215519"
"Tamplin, Harry";"16";"08.12.1997";"215520"
"Tetek, Bojan";"16";"17.09.1997";"215521"
"Page, Adam";"17";"21.03.1997";"215522"
"Okojie, Dan";"17";"19.01.1997";"215523"
"Edu Dracena";"33";"18.05.1981";"301840"
"Gabriel";"33";"05.06.1981";"302464"
"F¨¢bio";"33";"30.09.1980";"303204"
"L¨²cio";"36";"08.05.1978";"303441"
"Tinga";"36";"13.01.1978";"303552"
"Luis?o";"33";"13.02.1981";"304150"
"Jefferson";"31";"13.04.1983";"308322"
"J¨²lio Baptista";"32";"01.10.1981";"308347"
"Maicon";"32";"26.07.1981";"308421"
"Rey, Luis Gabriel";"34";"20.02.1980";"308476"
"Pepe";"31";"26.02.1983";"309147"
"Kak¨¢";"32";"22.04.1982";"310625"
"Iriney";"33";"23.04.1981";"310756"
"Gomes, Heurelho";"33";"15.02.1981";"310870"
"Maxwell";"32";"27.08.1981";"310874"
"Nilmar";"29";"14.07.1984";"311051"
"Diego";"29";"28.02.1985";"311148"
"J¨²lio S¨¦rgio";"35";"08.11.1978";"311291"
"Artur";"33";"25.01.1981";"312053"
"Nen¨º";"32";"19.07.1981";"312059"
"Felipe Melo";"30";"26.08.1983";"315109"
"Daniel Alves";"31";"06.05.1983";"315542"
"Adriano";"29";"26.10.1984";"315865"
"Borges";"33";"05.10.1980";"316527"
"Robinho";"30";"25.01.1984";"316640"
"Alex";"32";"25.03.1982";"316715"
"Dante";"30";"18.10.1983";"316742"
"Victor";"31";"21.01.1983";"317032"
"Andr¨¦ Santos";"31";"08.03.1983";"317034"
"Alex";"32";"17.06.1982";"317273"
"V¨¢gner Love";"30";"11.06.1984";"317288"
"Elias";"29";"16.05.1985";"317289"
"¨¦derson";"28";"13.01.1986";"317312"
"Filipe Lu¨ªs";"28";"09.08.1985";"319221"
"Danilo";"30";"10.05.1984";"320236"
"J¨¢dson";"30";"05.10.1983";"320362"
"Anderson";"26";"13.04.1988";"320552"
"Den¨ªlson";"26";"16.02.1988";"320553"
"Renato Augusto";"26";"08.02.1988";"320569"
"Siqueira, Guilherme";"28";"28.04.1986";"320772"
"Fred";"30";"03.10.1983";"321081"
"Garner, Glyn";"37";"09.12.1976";"350456"
"Goodall, Alan";"32";"02.12.1981";"351919"
"Lawless, Alex";"29";"26.03.1985";"352756"
"Roberts, Gary";"30";"18.03.1984";"352989"
"Murphy, Jamie";"24";"28.08.1989";"356951"
"Mohamed, Kaid";"29";"23.07.1984";"357041"
"Lamb, Carl";"29";"10.11.1984";"359621"
"Jones, Craig";"27";"20.03.1987";"359803"
"Mannus, Alan";"32";"19.05.1982";"410554"
"Hughes, Jeff";"29";"29.05.1985";"414037"
"McDonald, Scott";"30";"21.08.1983";"425070"
"Galekovic, Eugene";"33";"12.06.1981";"425346"
"Smeltz, Shane";"32";"29.09.1981";"426449"
"Zan, G?khan";"32";"07.09.1981";"454424"
"?ahin, Sel?uk";"33";"31.01.1981";"454456"
"Korkmaz, Egemen";"31";"03.11.1982";"455059"
"Topuz, Mehmet";"30";"07.09.1983";"455526"
"Demirel, Volkan";"32";"27.10.1981";"458844"
"Sar?o?lu, Sabri";"29";"26.07.1984";"463500"
"Bulut, Umut";"31";"15.03.1983";"464791"
"?rteg¨¹n, Bekir";"30";"20.04.1984";"466280"
"?nan, Sel?uk";"29";"10.02.1985";"467224"
"G?n¨¹l, G?khan";"29";"04.01.1985";"470839"
"Zengin, Tolga";"30";"10.10.1983";"470871"
"Y?lmaz, Burak";"28";"15.07.1985";"470884"
"Topal, Mehmet";"28";"03.03.1986";"470897"
"Izmailov, Marat";"31";"21.09.1982";"475783"
"Shirokov, Roman";"33";"06.07.1981";"477731"
"Ignashevich, Sergey";"34";"14.07.1979";"477944"
"Anyukov, Alexandr";"31";"28.09.1982";"477945"
"Berezutskiy, Alexey";"32";"20.06.1982";"478229"
"Berezutskiy, Vasily";"32";"20.06.1982";"478230"
"Malafeev, Vyacheslav";"35";"04.03.1979";"478788"
"Arshavin, Andrey";"33";"29.05.1981";"478803"
"Tymoschuk, Anatoliy";"35";"30.03.1979";"485091"
"Shevchuk, Vyacheslav";"35";"13.05.1979";"485098"
"Kerzhakov, Alexandr";"31";"27.11.1982";"485365"
"Goryainov, Olexandr";"39";"29.06.1975";"485870"
"Pogrebnyak, Pavel";"30";"08.11.1983";"486041"
"Denisov, Igor";"30";"17.05.1984";"489140"
"Zhirkov, Yury";"30";"20.08.1983";"491445"
"Moisander, Niklas";"28";"29.09.1985";"518969"
"Eremenko, Roman";"27";"19.03.1987";"523101"
"Zokora, Didier";"33";"14.12.1980";"527746"
"de Camargo, Igor";"31";"12.05.1983";"529524"
"Van Damme, Jelle";"30";"10.10.1983";"533273"
"Tour¨¦, Yaya";"31";"13.05.1983";"533344"
"Lombaerts, Nicolas";"29";"20.03.1985";"538134"
"Barry-Murphy, Brian";"35";"27.07.1978";"550006"
"Jones, Steve";"37";"25.10.1976";"550246"
"Forde, David";"34";"20.12.1979";"550760"
"Delaney, Damien";"32";"29.07.1981";"550772"
"Bennett, Alan";"32";"04.10.1981";"559480"
"Hunt, Noel";"31";"26.12.1982";"559652"
"Cummins, Graham";"26";"29.12.1987";"561475"
"Murphy, Daryl";"31";"15.03.1983";"561726"
"Doyle, Kevin";"30";"18.09.1983";"562027"
"Ward, Stephen";"28";"20.08.1985";"562179"
"Mooney, David";"29";"30.10.1984";"564852"
"Henry, Ronnie";"30";"20.01.1984";"564944"
"Dicker, Gary";"27";"31.07.1986";"565759"
"Deegan, Gary";"26";"28.09.1987";"567077"
"Connolly, David";"37";"06.06.1977";"601715"
"Durmaz, Jimmy";"25";"22.03.1989";"611474"
"Antwi, Will";"31";"19.10.1982";"611641"
"Larsson, Sebastian";"29";"06.06.1985";"615722"
"Olsson, Jonas";"31";"10.03.1983";"617578"
"Holm¨¦n, Samuel";"30";"28.06.1984";"617994"
"Kacaniklic, Alexander";"22";"13.08.1991";"618356"
"Srna, Darijo";"32";"01.05.1982";"652706"
"Eduardo da Silva";"31";"25.02.1983";"652907"
"Kranjcar, Niko";"29";"13.08.1984";"652912"
"Modric, Luka";"28";"09.09.1985";"653054"
"Spahic, Emir";"33";"18.08.1980";"656972"
"Subasic, Danijel";"29";"27.10.1984";"657535"
"Jelavic, Nikica";"28";"27.08.1985";"657737"
"Vukojevic, Ognjen";"30";"20.12.1983";"658322"
"Mandzukic, Mario";"28";"21.05.1986";"661804"
"Vargic, Ivan";"27";"15.03.1987";"662325"
"Konstantopoulos, Dimitris";"35";"29.11.1978";"675473"
"Gekas, Theofanis";"34";"23.05.1980";"678445"
"Torosidis, Vasilis";"29";"10.06.1985";"688241"
"Karnezis, Orestis";"28";"11.07.1985";"689714"
"Kone, Panagiotis";"26";"26.07.1987";"693761"
"Maniatis, Giannis";"27";"12.10.1986";"693782"
"Comazzi, Alberto";"35";"16.04.1979";"703381"
"Pirlo, Andrea";"35";"19.05.1979";"703963"
"Di Natale, Antonio";"36";"13.10.1977";"704181"
"Abbiati, Christian";"37";"08.07.1977";"705280"
"Wasilewski, Marcin";"34";"09.06.1980";"711740"
"Boruc, Artur";"34";"20.02.1980";"713854"
"Uche, Kalu";"31";"15.11.1982";"714194"
"Bialkowski, Bartosz";"27";"06.07.1987";"718036"
"Fabianski, Lukasz";"29";"18.04.1985";"718272"
"Piszczek, Lukasz";"29";"03.06.1985";"719130"
"Lewandowski, Robert";"25";"21.08.1988";"719601"
"Blaszczykowski, Jakub";"28";"14.12.1985";"719793"
"Tyton, Przemyslaw";"27";"04.01.1987";"721435"
"Eduardo";"31";"19.09.1982";"726240"
"Beto";"32";"01.05.1982";"727969"
"Quaresma, Ricardo";"30";"26.09.1983";"727983"
"Bruno Alves";"32";"27.11.1981";"728185"
"Danny";"30";"07.08.1983";"728252"
"Cust¨®dio";"31";"24.05.1983";"733713"
"Meireles, Ra¨²l";"31";"17.03.1983";"734369"
"Cristiano Ronaldo";"29";"05.02.1985";"735216"
"Nani";"27";"17.11.1986";"736009"
"Bosingwa, Jos¨¦";"31";"24.08.1982";"741143"
"Jos¨¦ Fonte";"30";"22.12.1983";"742448"
"Pereira, Jo?o";"30";"25.02.1984";"742580"
"Djal¨®, Yannick";"28";"05.05.1986";"744161"
"Rolando";"28";"31.08.1985";"744475"
"R¨²ben Micael";"27";"19.08.1986";"744496"
"Semedo, Jos¨¦";"29";"11.01.1985";"744525"
"Varela, Silvestre";"29";"02.02.1985";"744530"
"Miguel Veloso";"28";"11.05.1986";"744536"
"Jo?o Moutinho";"27";"08.09.1986";"744539"
"Felgueiras, M¨¢rio";"27";"12.12.1986";"744542"
"Vieirinha";"28";"24.01.1986";"744574"
"Alcaraz, Antol¨ªn";"31";"30.07.1982";"745751"
"Eliseu";"30";"01.10.1983";"745775"
"Bikey-Amougou, Andr¨¦";"29";"08.01.1985";"746379"
"Gamst Pedersen, Morten";"32";"08.09.1981";"751770"
"Hangeland, Brede";"33";"20.06.1981";"753920"
"Abdellaoue, Mohammed";"28";"23.10.1985";"760798"
"Al-Habsi, Ali";"32";"30.12.1981";"761727"
"Tettey, Alexander";"28";"04.04.1986";"762026"
"Berget, Jo Inge";"23";"11.09.1990";"762823"
"Obasi, Chinedu";"28";"01.06.1986";"766769"
"Parr, Jonathan";"25";"21.10.1988";"767662"
"Kawashima, Eiji";"31";"20.03.1983";"776491"
"Okazaki, Shinji";"28";"16.04.1986";"788545"
"Honda, Keisuke";"28";"13.06.1986";"788585"
"Uchida, Atsuto";"26";"27.03.1988";"788633"
"Mainz, Diego";"31";"29.12.1982";"811021"
"Alonso, Xabi";"32";"25.11.1981";"811316"
"Navarro, Fernando";"32";"25.06.1982";"813115"
"Villa, David";"32";"01.12.1981";"813570"
"Bruno";"33";"01.10.1980";"814310"
"Llera, Miguel";"34";"07.08.1979";"814333"
"Joaqu¨ªn";"32";"21.07.1981";"814555"
"Cu¨¦llar, Carlos";"32";"23.08.1981";"815160"
"Riera, Albert";"32";"15.04.1982";"815776"
"Torres, Fernando";"30";"20.03.1984";"821112"
"Castro, Diego";"32";"02.07.1982";"823712"
"Vald¨¦s, V¨ªctor";"32";"14.01.1982";"824039"
"Iniesta, Andr¨¦s";"30";"11.05.1984";"824041"
"Iraola, Andoni";"32";"22.06.1982";"824160"
"Iraizoz, Gorka";"33";"06.03.1981";"824204"
"Moy¨¤, Miguel ¨¢ngel";"30";"02.04.1984";"824545"
"Diamanti, Alessandro";"31";"02.05.1983";"827054"
"Pepe, Simone";"30";"30.08.1983";"829403"
"De Rossi, Daniele";"30";"24.07.1983";"829412"
"Marchetti, Federico";"31";"07.02.1983";"829683"
"Domizzi, Maurizio";"34";"28.06.1980";"830081"
"Borriello, Marco";"32";"18.06.1982";"830300"
"Vucinic, Mirko";"30";"01.10.1983";"830573"
"Chiellini, Giorgio";"29";"14.08.1984";"831079"
"Martins, Obafemi";"29";"28.10.1984";"831776"
"Pasqual, Manuel";"32";"13.03.1982";"833422"
"Ledesma, Cristian";"31";"24.09.1982";"835222"
"Aquilani, Alberto";"30";"07.07.1984";"836911"
"Pazzini, Giampaolo";"29";"02.08.1984";"836928"
"Muntari, Sulley";"29";"27.08.1984";"837261"
"Budyanskiy, Victor";"30";"12.01.1984";"837525"
"Pandev, Goran";"30";"27.07.1983";"837912"
"Munari, Gianni";"31";"24.06.1983";"837974"
"Heitinga, John";"30";"15.11.1983";"850009"
"van der Vaart, Rafael";"31";"11.02.1983";"850015"
"Loovens, Glenn";"30";"22.10.1983";"850017"
"Huntelaar, Klaas-Jan";"30";"12.08.1983";"850019"
"Mathijsen, Joris";"34";"05.04.1980";"850104"
"de Vries, Dorus";"33";"29.12.1980";"850121"
"ten Rouwelaar, Jelle";"33";"24.12.1980";"850878"
"Stekelenburg, Maarten";"31";"22.09.1982";"850879"
"Robben, Arjen";"30";"23.01.1984";"850881"
"Samaras, Giorgos";"29";"21.02.1985";"851656"
"Waterman, Boy";"30";"24.01.1984";"853642"
"El Hamdaoui, Mounir";"29";"14.07.1984";"854716"
"Michel Bastos";"30";"02.08.1983";"856161"
"Boussoufa, Mbark";"29";"15.08.1984";"856379"
"Schaars, Stijn";"30";"11.01.1984";"856452"
"de Jong, Nigel";"29";"30.11.1984";"856589"
"Krohn-Dehli, Michael";"31";"06.06.1983";"856650"
"Hooiveld, Jos";"31";"22.04.1983";"856834"
"Sneijder, Wesley";"30";"09.06.1984";"856882"
"Vermeer, Kenneth";"28";"10.01.1986";"856952"
"Tiendalli, Dwight";"28";"21.10.1985";"856954"
"Babel, Ryan";"27";"19.12.1986";"856957"
"Emanuelson, Urby";"28";"16.06.1986";"856963"
"Esajas, Etienne";"29";"04.11.1984";"856995"
"Jardim, Felino";"28";"10.08.1985";"857007"
